Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maine CD-1,Maine CD-2,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nebraska CD-1,Nebraska CD-2,Nebraska CD-3,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2022-07-27,0.0,0.0,40.70013937336262,0.0,0.0,43.399610757894365,38.59405282665683,0.0,0.0,47.40020105740299,47.87705704640987,0.0,0.0,0.0,0.0,51.10021508771016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.48619462959303,0.0,0.0,50.9838582004745,0.0,0.0,0.0,0.0,0.0,43.00079538854765,43.0000407055573,0.0,0.0,0.0,47.959411489226355,0.0,41.7,0.0,0.0,42.44761253650932,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,48.69109000676295,0.0
2022-07-28,0.0,0.0,40.700139373362624,0.0,0.0,43.399610757894365,38.59405282665683,0.0,0.0,47.40020105740299,47.87705704640987,0.0,0.0,0.0,0.0,51.100215087710154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.48619462959303,0.0,0.0,50.9838582004745,0.0,0.0,0.0,0.0,0.0,43.00079538854765,43.00004070555731,0.0,0.0,0.0,47.95941148922635,0.0,41.7,0.0,0.0,42.447612536509325,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,48.691090006762934,0.0
2022-07-29,0.0,0.0,40.70013937336262,0.0,0.0,43.399610757894365,38.59405282665683,0.0,0.0,47.40020105740299,47.87705704640987,0.0,0.0,0.0,0.0,51.100215087710154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.48619462959302,0.0,0.0,50.9838582004745,0.0,0.0,0.0,0.0,0.0,43.00079538854765,43.00004070555731,0.0,0.0,0.0,47.95941148922635,0.0,41.7,0.0,0.0,42.447612536509325,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,48.69109000676295,0.0
2022-07-30,0.0,0.0,40.70013937336262,0.0,0.0,43.39961075789436,38.59405282665683,0.0,0.0,47.40020105740298,47.87705704640987,0.0,0.0,0.0,0.0,51.10021508771016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.48619462959303,0.0,0.0,50.98385820047451,0.0,0.0,0.0,0.0,0.0,43.00079538854765,43.00004070555731,0.0,0.0,0.0,47.959411489226355,0.0,41.7,0.0,0.0,42.447612536509325,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,48.69109000676295,0.0
2022-07-31,0.0,0.0,40.700139373362624,0.0,0.0,43.39961075789436,38.59405282665683,0.0,0.0,47.40020105740298,47.87705704640987,0.0,0.0,0.0,0.0,51.100215087710154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.48619462959303,0.0,0.0,50.9838582004745,0.0,0.0,0.0,0.0,0.0,43.00079538854765,43.000040705557296,0.0,0.0,0.0,47.95941148922635,0.0,41.7,0.0,0.0,42.447612536509325,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,48.69109000676294,0.0
2022-08-01,0.0,0.0,40.700139373362624,0.0,0.0,43.399610757894365,38.59405282665683,0.0,0.0,47.400201057402995,47.87705704640987,0.0,0.0,0.0,0.0,51.10021508771015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.48619462959304,0.0,0.0,50.98385820047451,0.0,0.0,0.0,0.0,0.0,43.00079538854765,43.00004070555731,0.0,0.0,0.0,47.95941148922635,0.0,41.7,0.0,0.0,42.447612536509325,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,48.69109000676294,0.0
2022-08-02,0.0,0.0,40.700139373362624,0.0,0.0,43.399610757894365,38.59405282665683,0.0,0.0,47.40020105740299,47.87705704640987,0.0,0.0,0.0,0.0,51.100215087710154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.48619462959303,0.0,0.0,50.98385820047452,0.0,0.0,0.0,0.0,0.0,43.00079538854765,43.00004070555731,0.0,0.0,0.0,47.95941148922635,0.0,41.7,0.0,0.0,42.447612536509325,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,48.69109000676295,0.0
2022-08-03,0.0,0.0,40.70013937336262,0.0,0.0,43.39961075789436,38.59405282665683,0.0,0.0,47.40020105740299,47.87705704640987,0.0,0.0,0.0,0.0,51.100215087710154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.48619462959303,0.0,0.0,50.983858200474515,0.0,0.0,0.0,0.0,0.0,43.00079538854765,43.00004070555731,0.0,0.0,0.0,47.95941148922635,0.0,41.7,0.0,0.0,42.447612536509325,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,48.69109000676295,0.0
2022-08-04,0.0,0.0,40.700139373362624,0.0,0.0,43.399610757894365,38.59405282665683,0.0,0.0,47.40020105740299,47.87705704640987,0.0,0.0,0.0,0.0,51.100215087710154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.48619462959303,0.0,0.0,50.9838582004745,0.0,0.0,0.0,0.0,0.0,43.00079538854765,43.00004070555731,0.0,0.0,0.0,47.95941148922635,0.0,41.7,0.0,0.0,42.447612536509325,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,48.69109000676295,0.0
2022-08-05,0.0,0.0,40.700139373362624,0.0,0.0,43.399610757894365,38.59405282665683,0.0,0.0,47.40020105740298,47.87705704640987,0.0,0.0,0.0,0.0,51.10021508771016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.48619462959303,0.0,0.0,50.983858200474494,0.0,0.0,0.0,0.0,0.0,43.00079538854765,43.00004070555731,0.0,0.0,0.0,47.95941148922635,0.0,41.7,0.0,0.0,42.447612536509325,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,48.691090006762934,0.0
